2025/09/21 06:08:05.193833 ======================================
2025/09/21 06:08:05.193892 Hello, it's a me, snaked
2025/09/21 06:08:05.193896 Config: width=40, height=40, speed=8
2025/09/22 05:58:03.672888 ======================================
2025/09/22 05:58:03.672986 Hello, it's a me, snaked
2025/09/22 05:58:03.672993 Config: width=32, height=18, speed=8
2025/09/22 05:58:03.800342 tick, direction = up
2025/09/22 05:58:03.925697 tick, direction = up
2025/09/22 05:58:04.050810 tick, direction = up
2025/09/22 05:58:04.175237 tick, direction = up
2025/09/22 05:58:04.300235 tick, direction = up
2025/09/22 05:58:04.426712 tick, direction = up
2025/09/22 05:58:04.550446 tick, direction = up
2025/09/22 05:58:04.675519 tick, direction = up
2025/09/22 05:58:04.800831 tick, direction = up
2025/09/22 05:58:04.924822 tick, direction = up
2025/09/22 05:58:05.050603 tick, direction = up
2025/09/22 05:58:05.175853 tick, direction = up
2025/09/22 05:58:05.300628 tick, direction = up
2025/09/22 05:58:05.425302 tick, direction = up
2025/09/22 05:58:05.550724 tick, direction = up
2025/09/22 05:58:05.675777 tick, direction = up
2025/09/22 05:58:05.801030 tick, direction = up
2025/09/22 05:58:05.924732 tick, direction = up
2025/09/22 05:58:06.049894 tick, direction = up
2025/09/22 05:58:06.176106 tick, direction = up
2025/09/22 05:58:06.300299 tick, direction = up
2025/09/22 05:58:06.424801 tick, direction = up
2025/09/22 05:58:06.550552 tick, direction = up
2025/09/22 05:58:06.675103 tick, direction = up
2025/09/22 05:58:06.800323 tick, direction = up
2025/09/22 05:58:06.924953 tick, direction = up
2025/09/22 05:58:07.050742 tick, direction = up
2025/09/22 05:58:07.175477 tick, direction = up
2025/09/22 05:58:07.300185 tick, direction = up
2025/09/22 05:58:07.425308 tick, direction = up
2025/09/22 05:58:07.549843 tick, direction = up
2025/09/22 05:58:07.674740 tick, direction = up
2025/09/22 05:58:07.800711 tick, direction = up
2025/09/22 05:58:07.925110 tick, direction = up
2025/09/22 05:58:08.050739 tick, direction = up
2025/09/22 05:58:08.175462 tick, direction = up
2025/09/22 05:58:08.300790 tick, direction = up
2025/09/22 05:58:08.425549 tick, direction = up
2025/09/22 05:58:08.550025 tick, direction = up
2025/09/22 05:58:08.675273 tick, direction = up
2025/09/22 05:58:08.801312 tick, direction = up
2025/09/22 05:58:08.925695 tick, direction = up
2025/09/22 05:58:09.050374 tick, direction = up
2025/09/22 05:58:09.175556 tick, direction = up
2025/09/22 05:58:09.299839 tick, direction = up
2025/09/22 05:58:09.425441 tick, direction = up
2025/09/22 05:58:09.549684 tick, direction = up
2025/09/22 05:58:09.675208 tick, direction = up
2025/09/22 05:58:09.800274 tick, direction = up
2025/09/22 05:58:09.925689 tick, direction = up
2025/09/22 05:58:10.050392 tick, direction = up
2025/09/22 05:58:10.175948 tick, direction = up
2025/09/22 05:58:10.300253 tick, direction = up
2025/09/22 05:58:10.425875 tick, direction = up
2025/09/22 05:58:10.549940 tick, direction = up
2025/09/22 05:58:10.675340 tick, direction = up
2025/09/22 05:58:10.800335 tick, direction = up
2025/09/22 05:58:10.924886 tick, direction = up
2025/09/22 05:58:11.049987 tick, direction = up
2025/09/22 05:58:11.174998 tick, direction = up
2025/09/22 05:58:11.300150 tick, direction = up
2025/09/22 05:58:11.424675 tick, direction = up
2025/09/22 05:58:11.550472 tick, direction = up
2025/09/22 05:58:11.675351 tick, direction = up
2025/09/22 05:58:11.800121 tick, direction = up
2025/09/22 05:58:11.924779 tick, direction = up
2025/09/22 05:58:12.049753 tick, direction = up
2025/09/22 05:58:12.175359 tick, direction = up
2025/09/22 05:58:12.303278 tick, direction = up
2025/09/22 05:58:12.425303 tick, direction = up
2025/09/22 05:58:12.550423 tick, direction = up
2025/09/22 05:58:12.674800 tick, direction = up
2025/09/22 05:58:12.800334 tick, direction = up
2025/09/22 05:58:12.925258 tick, direction = up
2025/09/22 05:58:13.049927 tick, direction = up
2025/09/22 05:58:13.175540 tick, direction = up
2025/09/22 05:58:13.300347 tick, direction = up
